material_slug,what_to_search_for,store,price,price_unit,bulk_price,bulk_qty,coverage_sqft,url,date
impact-resistant-shingle,GAF Timberline AS II impact resistant shingles,Home Depot,,bundle,,,,https://www.homedepot.com/s/GAF%20Timberline%20AS%20II,
impact-resistant-shingle,Owens Corning Duration Storm shingles,Home Depot,,bundle,,,,https://www.homedepot.com/s/Owens%20Corning%20Duration%20Storm,
impact-resistant-shingle,Class 4 impact resistant architectural shingles,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=class%204%20impact%20resistant%20shingles,
asphalt-premium,GAF Grand Sequoia or Camelot II,Home Depot,,bundle,,,,https://www.homedepot.com/s/GAF%20Grand%20Sequoia,
asphalt-premium,Owens Corning Berkshire or TruDefinition Duration Designer,Home Depot,,bundle,,,,https://www.homedepot.com/s/Owens%20Corning%20Berkshire%20shingles,
asphalt-premium,designer / luxury asphalt shingles,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=designer%20shingles,
metal-exposed-fastener,"Gibraltar corrugated galvanized panel - NOTE covering width, not panel width",Home Depot,,panel,,,,https://www.homedepot.com/s/corrugated%20metal%20roof%20panel,
metal-exposed-fastener,Union Corrugating ribbed steel panel,Home Depot,,panel,,,,https://www.homedepot.com/s/ribbed%20metal%20roofing%20panel,
metal-exposed-fastener,exposed fastener metal roof panel,Lowe's,,panel,,,,https://www.lowes.com/search?searchTerm=metal%20roof%20panel,
metal-standing-seam,standing seam metal roof panel,Home Depot,,panel,,,,https://www.homedepot.com/s/standing%20seam%20metal%20roof%20panel,
metal-standing-seam,standing seam roofing panel,Lowe's,,panel,,,,https://www.lowes.com/search?searchTerm=standing%20seam%20metal%20roofing,
metal-standing-seam,standing seam panel - check if a price is public,Menards,,panel,,,,https://www.menards.com/main/search.html?search=standing+seam+metal+roofing,
concrete-tile,concrete roof tile,Home Depot,,bundle,,,,https://www.homedepot.com/s/concrete%20roof%20tile,
concrete-tile,concrete roofing tile,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=concrete%20roof%20tile,
concrete-tile,Boral / Westlake concrete tile - public price?,Westlake Royal,,bundle,,,,https://westlakeroyalroofing.com/products/,
clay-tile,clay roof tile,Home Depot,,bundle,,,,https://www.homedepot.com/s/clay%20roof%20tile,
clay-tile,clay roofing tile,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=clay%20roof%20tile,
clay-tile,clay tile - public price?,Westlake Royal,,bundle,,,,https://westlakeroyalroofing.com/products/,
synthetic-slate,DaVinci or Brava composite slate,Home Depot,,bundle,,,,https://www.homedepot.com/s/composite%20slate%20roof%20tile,
synthetic-slate,synthetic slate roofing,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=synthetic%20slate%20roofing,
synthetic-slate,DaVinci Roofscapes - public price?,DaVinci,,bundle,,,,https://www.davinciroofscapes.com/,
natural-slate,natural slate roof tile,Home Depot,,bundle,,,,https://www.homedepot.com/s/natural%20slate%20roofing,
natural-slate,slate roofing tile,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=slate%20roofing%20tile,
natural-slate,quarry direct - public price?,Vermont Slate,,bundle,,,,https://www.vermontslate.com/,
cedar-shake,cedar shake / shingle bundle,Home Depot,,bundle,,,,https://www.homedepot.com/s/cedar%20roof%20shingles,
cedar-shake,cedar shakes roofing,Lowe's,,bundle,,,,https://www.lowes.com/search?searchTerm=cedar%20roof%20shingles,
cedar-shake,cedar shakes,Menards,,bundle,,,,https://www.menards.com/main/search.html?search=cedar+roof+shingles,
tpo-membrane,"TPO roofing membrane roll - NOTE roll covers sq ft, not bundles",Home Depot,,roll,,,,https://www.homedepot.com/s/TPO%20roofing%20membrane,
tpo-membrane,TPO membrane roll,Lowe's,,roll,,,,https://www.lowes.com/search?searchTerm=TPO%20roofing%20membrane,
tpo-membrane,TPO membrane,Menards,,roll,,,,https://www.menards.com/main/search.html?search=tpo+roofing+membrane,
modified-bitumen,modified bitumen roll roofing,Home Depot,,roll,,,,https://www.homedepot.com/s/modified%20bitumen%20roofing,
modified-bitumen,rolled roofing modified bitumen,Lowe's,,roll,,,,https://www.lowes.com/search?searchTerm=modified%20bitumen%20roll%20roofing,
modified-bitumen,mod bit roll,Menards,,roll,,,,https://www.menards.com/main/search.html?search=modified+bitumen+roofing,
spf-foam,spray polyurethane foam roofing kit,Home Depot,,kit,,,,https://www.homedepot.com/s/spray%20foam%20roofing%20kit,
spf-foam,closed cell spray foam kit,Lowe's,,kit,,,,https://www.lowes.com/search?searchTerm=spray%20foam%20insulation%20kit,
spf-foam,"SPF is applied, not bought by the square - a public price may not exist. Leave blank if so.",Note,,kit,,,,,
